ArabidopsisGeneID, CottonGeneID, Identity%, Similarity%
>AT5G25910.1,>GhA11G075300,20.0%,31.0%
>AT5G25910.1,>GhA11G229300,21.8%,31.0%
>AT5G25910.1,>GhD08G236900,11.5%,18.9%
>AT5G25910.1,>GhA11G292000,12.6%,21.0%
>AT5G25910.1,>GhD05G388100,13.8%,20.3%
>AT5G25910.1,>GhA12G092200,21.1%,31.0%
>AT5G25910.1,>GhD07G163000,24.0%,38.4%
>AT5G25910.1,>GhD07G095200,13.6%,19.0%
>AT5G25910.1,>GhD13G060700,16.1%,27.3%
>AT5G25910.1,>GhD03G057700,12.1%,20.1%
>AT5G25910.1,>GhD13G232900,13.6%,20.2%
>AT5G25910.1,>GhD10G173100,11.3%,17.8%
>AT5G25910.1,>GhD06G069300,21.2%,31.1%
>AT5G25910.1,>GhD12G090600,22.6%,30.9%
>AT5G25910.1,>GhD06G155600,59.1%,73.1%
>AT5G25910.1,>GhD02G148100,18.3%,27.9%
>AT5G25910.1,>GhD02G148100,18.3%,27.9%
>AT5G25910.1,>GhD01G245400,10.3%,15.3%
>AT5G25910.1,>GhD01G245500,11.2%,17.5%
>AT5G25910.1,>GhA11G283800,11.5%,20.6%
>AT5G25910.1,>GhD11G338300,14.2%,21.3%
>AT5G25910.1,>GhD11G338200,11.3%,17.1%
>AT5G25910.1,>GhA13G063200,13.9%,23.2%
>AT5G25910.1,>GhD09G026100,12.6%,18.9%
>AT5G25910.1,>GhD05G013900,14.0%,20.6%
>AT5G25910.1,>GhA01G050700,15.1%,25.0%
>AT5G25910.1,>GhD02G027900, 9.5%,15.2%
>AT5G25910.1,>GhD02G027800,10.8%,15.5%
>AT5G25910.1,>GhD11G075500,19.7%,30.4%
>AT5G25910.1,>GhA10G123000,12.4%,19.8%
>AT5G25910.1,>GhA01G256300,10.8%,16.6%
>AT5G25910.1,>GhD05G336900,10.1%,16.1%
>AT5G25910.1,>GhA10G135100,12.4%,18.6%
>AT5G25910.1,>GhA01G256200,15.4%,24.7%
>AT5G25910.1,>GhD04G152700,23.1%,38.6%
>AT5G25910.1,>GhA04G049100,11.7%,17.0%
>AT5G25910.1,>GhD08G020800,14.0%,20.7%
>AT5G25910.1,>GhA04G113800,10.7%,16.2%
>AT5G25910.1,>GhA04G049500,12.9%,19.5%
>AT5G25910.1,>GhD02G031400,12.1%,17.6%
>AT5G25910.1,>GhD04G152900,10.6%,17.5%
>AT5G25910.1,>GhD02G031600,10.6%,16.6%
>AT5G25910.1,>GhD05G397000,14.6%,22.5%
>AT5G25910.1,>GhA13G170200,11.9%,17.3%
>AT5G25910.1,>GhD05G396600,12.0%,19.8%
>AT5G25910.1,>GhA13G228800,15.2%,22.8%
>AT5G25910.1,>GhD01G250500,12.2%,18.1%
>AT5G25910.1,>GhD01G250400,11.7%,18.6%
>AT5G25910.1,>GhD01G248400,11.9%,17.2%
>AT5G25910.1,>GhD04G152600,11.5%,16.3%
>AT5G25910.1,>GhD10G138900,12.8%,19.7%
>AT5G25910.1,>GhD10G036800,62.6%,74.8%
>AT5G25910.1,>GhD01G046300,14.3%,21.5%
>AT5G25910.1,>GhD06G224700, 9.3%,14.6%
>AT5G25910.1,>GhD02G031500, 8.3%,13.4%
>AT5G25910.1,>GhD07G192700,12.9%,20.1%
>AT5G25910.1,>GhA11G356600, 8.0%,12.8%
>AT5G25910.1,>GhA02G027000, 7.7%,12.8%
>AT5G25910.1,>GhD10G132500,10.5%,15.4%
>AT5G25910.1,>GhA05G356600,11.0%,18.1%
>AT5G25910.1,>GhD06G224800,11.3%,18.5%
>AT5G25910.1,>GhD05G397900,12.2%,17.1%
>AT5G25910.1,>GhA01G251300,11.4%,17.4%
>AT5G25910.1,>GhA01G254200,12.0%,17.6%
>AT5G25910.1,>GhD05G395300,14.0%,21.2%
>AT5G25910.1,>GhD05G396900,12.4%,18.4%
>AT5G25910.1,>GhA08G025700,11.5%,17.4%
>AT5G25910.1,>GhD05G395000,12.4%,17.8%
>AT5G25910.1,>GhD02G045600,10.9%,17.2%
>AT5G25910.1,>GhD07G213600,13.9%,20.1%
>AT5G25910.1,>GhA11G333100,12.9%,18.9%
>AT5G25910.1,>GhA11G297300,11.4%,17.4%
>AT5G25910.1,>GhD09G061000,13.7%,20.4%
>AT5G25910.1,>GhD03G121200,12.5%,19.6%
>AT5G25910.1,>GhD05G367000,12.7%,20.6%
>AT5G25910.1,>GhD11G339300,12.8%,19.3%
>AT5G25910.1,>GhA10G097800,10.0%,17.6%
>AT5G25910.1,>GhD02G133200,12.6%,18.0%
>AT5G25910.1,>GhA13G228700,13.3%,21.4%
>AT5G25910.1,>GhA11G332000,13.2%,19.7%
>AT5G25910.1,>GhA09G067500,12.2%,19.8%
>AT5G25910.1,>GhA04G007700,12.5%,18.5%
>AT5G25910.1,>GhD12G159200,11.9%,18.2%
>AT5G25910.1,>GhA11G334000,13.2%,21.0%
>AT5G25910.1,>GhA11G283300,13.1%,19.4%
>AT5G25910.1,>GhD05G365900,12.5%,19.6%
>AT5G25910.1,>GhD05G396500,13.7%,21.0%
>AT5G25910.1,>GhD11G317300,13.1%,20.9%
>AT5G25910.1,>GhD11G339500,12.2%,19.9%
>AT5G25910.1,>GhA02G081100,15.0%,24.6%
>AT5G25910.1,>GhD01G046400,13.4%,20.3%
>AT5G25910.1,>GhA04G033800,13.5%,20.5%
>AT5G25910.1,>GhA10G123500,13.2%,20.4%
>AT5G25910.1,>GhD02G031000,14.0%,22.2%
>AT5G25910.1,>GhD05G367500,15.0%,22.3%
>AT5G25910.1,>GhD10G133200,14.1%,21.4%
>AT5G25910.1,>GhD02G031100,14.1%,19.2%
>AT5G25910.1,>GhA08G051200,14.6%,21.7%
>AT5G25910.1,>GhA05G269500,14.5%,22.6%
>AT5G25910.1,>GhA04G049200,15.6%,25.0%
>AT5G25910.1,>GhA04G007600,16.4%,25.0%
>AT5G25910.1,>GhA01G011400,14.2%,22.8%
>AT5G25910.1,>GhD01G049600,15.7%,23.7%
>AT5G25910.1,>GhD13G066900,17.2%,27.3%
>AT5G25910.1,>GhA13G229300,16.8%,25.6%
>AT5G25910.1,>GhD02G220600,14.7%,24.1%
>AT5G25910.1,>GhD05G397800,20.9%,29.3%
>AT5G25910.1,>GhD05G396100,19.0%,28.2%
>AT5G25910.1,>GhA07G032400,16.8%,25.0%
>AT5G25910.1,>GhD07G033800,16.9%,24.3%
>AT5G25910.1,>GhD02G030300,17.8%,28.4%
>AT5G25910.1,>GhD05G397600,18.4%,29.0%
>AT5G25910.1,>GhD02G131200,15.2%,23.9%
>AT5G25910.1,>GhA10G019500,16.1%,23.7%
>AT5G25910.1,>GhD09G084700,13.4%,21.6%
>AT5G25910.1,>GhD10G028400,17.1%,24.7%
>AT5G25910.1,>GhD11G147600,19.1%,29.0%
>AT5G25910.1,>GhA09G089700,18.1%,28.3%
>AT5G25910.1,>GhA03G115900,15.8%,24.6%
>AT5G25910.1,>GhA05G085800,15.2%,22.0%
>AT5G25910.1,>GhA05G396900,16.6%,25.3%
>AT5G25910.1,>GhD05G097500,18.4%,29.1%
>AT5G25910.1,>GhD04G021200,18.5%,28.0%
>AT5G25910.1,>GhD05G395100,22.8%,32.7%
>AT5G25910.1,>GhA02G024800,21.5%,32.3%
>AT5G25910.1,>GhA06G154300,58.7%,73.4%
>AT5G25910.1,>GhA05G139400,58.3%,76.6%
>AT5G25910.1,>GhA04G034300,13.0%,19.9%
>AT5G25910.1,>GhA04G008600,19.8%,29.0%
>AT5G25910.1,>GhA08G221500,22.4%,32.3%
>AT5G25910.1,>GhA04G034600,18.3%,26.4%
>AT5G25910.1,>GhA07G096900,17.3%,26.5%
>AT5G25910.1,>GhD05G155100,45.6%,58.3%
>AT5G25910.1,>GhD10G138600,15.0%,23.4%
>AT5G25910.1,>GhA07G216400,17.1%,24.6%
>AT5G25910.1,>GhD02G030600,15.6%,26.1%
>AT5G25910.1,>GhD02G078300,12.7%,20.3%
>AT5G25910.1,>GhD05G396200,16.0%,21.9%
>AT5G25910.1,>GhD01G010800,15.1%,23.8%
>AT5G25910.1,>GhA04G048600,14.5%,21.8%
>AT5G25910.1,>GhA07G216700,17.5%,23.7%
>AT5G25910.1,>GhD02G030200,14.0%,21.6%
>AT5G25910.1,>GhA01G053700,14.0%,21.6%
>AT5G25910.1,>GhA04G008300,11.2%,17.2%
>AT5G25910.1,>GhD02G032100,12.0%,18.3%
>AT1G45616.1,>GhA03G106700,28.1%,42.1%
>AT1G45616.1,>GhD01G046100,32.9%,44.1%
>AT1G45616.1,>GhA02G156900,30.0%,45.9%
>AT1G45616.1,>GhA02G180200, 8.3%,12.1%
>AT1G45616.1,>GhD06G224500,26.0%,38.7%
>AT1G45616.1,>GhA03G076200,29.6%,44.6%
>AT1G45616.1,>GhA03G127200, 6.7%,10.9%
>AT1G45616.1,>GhA04G007800,32.8%,48.2%
>AT1G45616.1,>GhD01G092200,33.2%,48.0%
>AT1G45616.1,>GhA04G008400,36.0%,52.2%
>AT1G45616.1,>GhD05G389300,36.1%,51.8%
>AT1G45616.1,>GhD05G398200,36.2%,53.3%
>AT1G45616.1,>GhA04G129800,21.8%,33.4%
>AT1G45616.1,>GhD04G025800,22.7%,36.1%
>AT1G45616.1,>GhA05G008200,22.3%,34.3%
>AT1G45616.1,>GhA05G397500,22.1%,35.7%
>AT1G45616.1,>GhD11G221500, 7.2%,11.4%
>AT1G45616.1,>GhD09G178000,31.1%,45.2%
>AT1G45616.1,>GhA06G196800,34.3%,49.1%
>AT1G45616.1,>GhD08G020700,34.2%,50.3%
>AT1G45616.1,>GhD08G021100,34.7%,50.8%
>AT1G45616.1,>GhA07G164200,13.2%,21.7%
>AT1G45616.1,>GhD08G025300,34.1%,48.7%
>AT1G45616.1,>GhA07G194800,37.1%,53.2%
>AT1G45616.1,>GhD08G025400,31.5%,45.8%
>AT1G45616.1,>GhA08G025800,28.7%,41.1%
>AT1G45616.1,>GhD13G171600,35.8%,50.9%
>AT1G45616.1,>GhA08G245600,29.9%,46.1%
>AT1G45616.1,>GhD10G132600,26.9%,41.2%
>AT1G45616.1,>GhA09G028900, 7.7%,11.4%
>AT1G45616.1,>GhD10G132400,25.0%,37.2%
>AT1G45616.1,>GhA09G136100,23.0%,33.6%
>AT1G45616.1,>GhD03G032100, 8.1%,12.0%
>AT1G45616.1,>GhA10G027700,11.4%,18.1%
>AT1G45616.1,>GhD11G337700,28.4%,43.5%
>AT1G45616.1,>GhA10G140000,25.9%,39.8%
>AT1G45616.1,>GhD04G169800,24.2%,35.8%
>AT1G45616.1,>GhD05G346300,27.3%,38.9%
>AT1G45616.1,>GhA11G075300,20.7%,30.9%
>AT1G45616.1,>GhA11G229300, 7.3%,11.5%
>AT1G45616.1,>GhD08G236900,29.4%,46.1%
>AT1G45616.1,>GhA11G292000,27.4%,42.1%
>AT1G45616.1,>GhD05G388100,36.0%,51.9%
>AT1G45616.1,>GhA12G092200, 7.9%,11.8%
>AT1G45616.1,>GhD07G163000,13.1%,21.0%
>AT1G45616.1,>GhD07G095200,28.7%,44.5%
>AT1G45616.1,>GhD13G060700, 7.0%,10.9%
>AT1G45616.1,>GhD03G057700,29.5%,45.4%
>AT1G45616.1,>GhD13G232900,26.7%,40.8%
>AT1G45616.1,>GhD10G173100,28.5%,44.2%
>AT1G45616.1,>GhD06G069300,15.3%,23.1%
>AT1G45616.1,>GhD12G090600, 8.2%,10.9%
>AT1G45616.1,>GhD06G155600,11.3%,16.9%
>AT1G45616.1,>GhD02G148100, 6.9%,12.1%
>AT1G45616.1,>GhD02G148100, 6.9%,12.1%
>AT1G45616.1,>GhD01G245400,34.5%,50.4%
>AT1G45616.1,>GhD01G245500,34.0%,49.9%
>AT1G45616.1,>GhA11G283800,39.8%,54.4%
>AT1G45616.1,>GhD11G338300,30.4%,45.1%
>AT1G45616.1,>GhD11G338200,29.1%,45.3%
>AT1G45616.1,>GhA13G063200,25.7%,35.5%
>AT1G45616.1,>GhD09G026100, 7.7%,12.9%
>AT1G45616.1,>GhD05G013900,24.7%,38.8%
>AT1G45616.1,>GhA01G050700,25.9%,37.7%
>AT1G45616.1,>GhD02G027900,31.9%,44.6%
>AT1G45616.1,>GhD02G027800,33.5%,45.8%
>AT1G45616.1,>GhD11G075500,21.1%,30.9%
>AT1G45616.1,>GhA10G123000,30.5%,43.7%
>AT1G45616.1,>GhA01G256300,32.0%,46.5%
>AT1G45616.1,>GhD05G336900,36.2%,52.2%
>AT1G45616.1,>GhA10G135100,26.2%,40.8%
>AT1G45616.1,>GhA01G256200,28.5%,41.7%
>AT1G45616.1,>GhD04G152700,14.3%,21.8%
>AT1G45616.1,>GhA04G049100,35.8%,51.3%
>AT1G45616.1,>GhD08G020800,33.8%,49.0%
>AT1G45616.1,>GhA04G113800,31.3%,44.4%
>AT1G45616.1,>GhA04G049500,37.9%,53.1%
>AT1G45616.1,>GhD02G031400,20.9%,30.0%
>AT1G45616.1,>GhD04G152900,32.2%,44.4%
>AT1G45616.1,>GhD02G031600,27.0%,39.7%
>AT1G45616.1,>GhD05G397000,31.2%,44.9%
>AT1G45616.1,>GhA13G170200,33.4%,48.1%
>AT1G45616.1,>GhD05G396600,30.3%,43.8%
>AT1G45616.1,>GhA13G228800,23.6%,36.0%
>AT1G45616.1,>GhD01G250500,31.5%,46.1%
>AT1G45616.1,>GhD01G250400,34.4%,50.2%
>AT1G45616.1,>GhD01G248400,34.3%,49.0%
>AT1G45616.1,>GhD04G152600,33.7%,46.7%
>AT1G45616.1,>GhD10G138900,26.2%,41.3%
>AT1G45616.1,>GhD10G036800,13.6%,20.2%
>AT1G45616.1,>GhD01G046300,37.5%,54.3%
>AT1G45616.1,>GhD06G224700,24.0%,36.0%
>AT1G45616.1,>GhD02G031500,25.4%,38.3%
>AT1G45616.1,>GhD07G192700,36.2%,52.9%
>AT1G45616.1,>GhA11G356600,11.3%,18.5%
>AT1G45616.1,>GhA02G027000,23.2%,35.3%
>AT1G45616.1,>GhD10G132500,25.9%,39.0%
>AT1G45616.1,>GhA05G356600,26.3%,39.4%
>AT1G45616.1,>GhD06G224800,27.2%,39.9%
>AT1G45616.1,>GhD05G397900,34.3%,50.2%
>AT1G45616.1,>GhA01G251300,33.8%,49.6%
>AT1G45616.1,>GhA01G254200,32.8%,47.9%
>AT1G45616.1,>GhD05G395300,34.6%,49.9%
>AT1G45616.1,>GhD05G396900,33.9%,49.2%
>AT1G45616.1,>GhA08G025700,32.7%,47.6%
>AT1G45616.1,>GhD05G395000,36.3%,52.8%
>AT1G45616.1,>GhD02G045600,31.0%,42.8%
>AT1G45616.1,>GhD07G213600,35.9%,49.6%
>AT1G45616.1,>GhA11G333100,28.6%,44.0%
>AT1G45616.1,>GhA11G297300,28.6%,43.6%
>AT1G45616.1,>GhD09G061000,38.8%,54.0%
>AT1G45616.1,>GhD03G121200,29.3%,44.2%
>AT1G45616.1,>GhD05G367000,26.9%,40.1%
>AT1G45616.1,>GhD11G339300,28.1%,43.3%
>AT1G45616.1,>GhA10G097800,28.7%,44.3%
>AT1G45616.1,>GhD02G133200,28.0%,42.3%
>AT1G45616.1,>GhA13G228700,27.5%,41.6%
>AT1G45616.1,>GhA11G332000,28.3%,43.2%
>AT1G45616.1,>GhA09G067500,37.6%,53.2%
>AT1G45616.1,>GhA04G007700,34.7%,51.7%
>AT1G45616.1,>GhD12G159200,29.8%,45.0%
>AT1G45616.1,>GhA11G334000,29.5%,46.8%
>AT1G45616.1,>GhA11G283300,27.9%,42.1%
>AT1G45616.1,>GhD05G365900,27.1%,40.3%
>AT1G45616.1,>GhD05G396500,33.9%,49.7%
>AT1G45616.1,>GhD11G317300,36.9%,51.8%
>AT1G45616.1,>GhD11G339500,27.8%,42.4%
>AT1G45616.1,>GhA02G081100,26.7%,40.9%
>AT1G45616.1,>GhD01G046400,34.9%,51.2%
>AT1G45616.1,>GhA04G033800,27.3%,41.6%
>AT1G45616.1,>GhA10G123500,29.7%,40.5%
>AT1G45616.1,>GhD02G031000,24.7%,37.2%
>AT1G45616.1,>GhD05G367500,25.9%,39.3%
>AT1G45616.1,>GhD10G133200,22.6%,35.0%
>AT1G45616.1,>GhD02G031100,24.2%,35.1%
>AT1G45616.1,>GhA08G051200,22.2%,34.0%
>AT1G45616.1,>GhA05G269500,27.1%,40.4%
>AT1G45616.1,>GhA04G049200,31.3%,44.3%
>AT1G45616.1,>GhA04G007600,29.3%,42.4%
>AT1G45616.1,>GhA01G011400,23.1%,35.0%
>AT1G45616.1,>GhD01G049600,24.9%,37.0%
>AT1G45616.1,>GhD13G066900,25.2%,36.1%
>AT1G45616.1,>GhA13G229300,19.6%,30.8%
>AT1G45616.1,>GhD02G220600,25.0%,35.9%
>AT1G45616.1,>GhD05G397800,26.8%,38.6%
>AT1G45616.1,>GhD05G396100,26.0%,36.5%
>AT1G45616.1,>GhA07G032400,16.7%,25.2%
>AT1G45616.1,>GhD07G033800,17.3%,25.5%
>AT1G45616.1,>GhD02G030300,20.6%,29.3%
>AT1G45616.1,>GhD05G397600,23.5%,34.6%
>AT1G45616.1,>GhD02G131200,12.0%,19.9%
>AT1G45616.1,>GhA10G019500,11.4%,18.9%
>AT1G45616.1,>GhD09G084700,12.3%,19.9%
>AT1G45616.1,>GhD10G028400,13.4%,23.2%
>AT1G45616.1,>GhD11G147600,17.0%,26.4%
>AT1G45616.1,>GhA09G089700,11.9%,20.2%
>AT1G45616.1,>GhA03G115900, 8.7%,14.5%
>AT1G45616.1,>GhA05G085800,10.8%,17.8%
>AT1G45616.1,>GhA05G396900,18.1%,28.4%
>AT1G45616.1,>GhD05G097500,10.5%,19.2%
>AT1G45616.1,>GhD04G021200,19.1%,31.0%
>AT1G45616.1,>GhD05G395100,20.6%,30.2%
>AT1G45616.1,>GhA02G024800,16.1%,23.9%
>AT1G45616.1,>GhA06G154300,11.2%,17.0%
>AT1G45616.1,>GhA05G139400,13.5%,20.1%
>AT1G45616.1,>GhA04G034300,13.2%,19.5%
>AT1G45616.1,>GhA04G008600,13.8%,20.2%
>AT1G45616.1,>GhA08G221500,12.2%,19.2%
>AT1G45616.1,>GhA04G034600,12.1%,18.0%
>AT1G45616.1,>GhA07G096900, 9.1%,13.5%
>AT1G45616.1,>GhD05G155100, 8.7%,13.2%
>AT1G45616.1,>GhD10G138600,10.6%,15.3%
>AT1G45616.1,>GhA07G216400,12.1%,16.9%
>AT1G45616.1,>GhD02G030600, 9.4%,14.9%
>AT1G45616.1,>GhD02G078300, 8.5%,13.2%
>AT1G45616.1,>GhD05G396200,10.0%,14.6%
>AT1G45616.1,>GhD01G010800, 8.2%,11.8%
>AT1G45616.1,>GhA04G048600, 9.9%,14.5%
>AT1G45616.1,>GhA07G216700, 8.9%,13.4%
>AT1G45616.1,>GhD02G030200, 7.8%,10.1%
>AT1G45616.1,>GhA01G053700, 7.6%,11.4%
>AT1G45616.1,>GhA04G008300,32.8%,48.8%
>AT1G45616.1,>GhD02G032100,27.5%,39.5%
>AT1G58190.2,>GhA03G106700,27.3%,40.0%
>AT1G58190.2,>GhD01G046100,24.1%,36.3%
>AT1G58190.2,>GhA02G156900,26.3%,40.4%
>AT1G58190.2,>GhA02G180200, 8.1%,11.1%
>AT1G58190.2,>GhD06G224500,34.5%,50.2%
>AT1G58190.2,>GhA03G076200,27.0%,39.9%
>AT1G58190.2,>GhA03G127200, 6.8%,10.5%
>AT1G58190.2,>GhA04G007800,26.2%,39.8%
>AT1G58190.2,>GhD01G092200,27.1%,38.7%
>AT1G58190.2,>GhA04G008400,27.7%,41.2%
>AT1G58190.2,>GhD05G389300,26.4%,38.7%
>AT1G58190.2,>GhD05G398200,27.2%,42.1%
>AT1G58190.2,>GhA04G129800,24.3%,38.5%
>AT1G58190.2,>GhD04G025800,21.7%,32.9%
>AT1G58190.2,>GhA05G008200,28.7%,40.5%
>AT1G58190.2,>GhA05G397500,23.1%,35.1%
>AT1G58190.2,>GhD11G221500, 8.5%,11.4%
>AT1G58190.2,>GhD09G178000,25.0%,38.0%
>AT1G58190.2,>GhA06G196800,26.1%,40.8%
>AT1G58190.2,>GhD08G020700,26.2%,39.4%
>AT1G58190.2,>GhD08G021100,26.7%,41.7%
>AT1G58190.2,>GhA07G164200,13.2%,21.3%
>AT1G58190.2,>GhD08G025300,27.4%,42.4%
>AT1G58190.2,>GhA07G194800,28.6%,43.3%
>AT1G58190.2,>GhD08G025400,25.4%,40.7%
>AT1G58190.2,>GhA08G025800,24.2%,37.1%
>AT1G58190.2,>GhD13G171600,27.6%,42.0%
>AT1G58190.2,>GhA08G245600,29.4%,44.3%
>AT1G58190.2,>GhD10G132600,32.4%,49.0%
>AT1G58190.2,>GhA09G028900, 8.6%,13.5%
>AT1G58190.2,>GhD10G132400,31.4%,47.6%
>AT1G58190.2,>GhA09G136100,20.6%,31.9%
>AT1G58190.2,>GhD03G032100, 7.8%,10.9%
>AT1G58190.2,>GhA10G027700,12.8%,20.2%
>AT1G58190.2,>GhD11G337700,27.8%,42.3%
>AT1G58190.2,>GhA10G140000,30.2%,47.6%
>AT1G58190.2,>GhD04G169800,24.2%,37.9%
>AT1G58190.2,>GhD05G346300,25.7%,37.6%
>AT1G58190.2,>GhA11G075300,17.0%,27.5%
>AT1G58190.2,>GhA11G229300, 8.6%,11.5%
>AT1G58190.2,>GhD08G236900,29.5%,44.0%
>AT1G58190.2,>GhA11G292000,23.9%,35.4%
>AT1G58190.2,>GhD05G388100,26.1%,41.0%
>AT1G58190.2,>GhA12G092200, 7.3%,10.2%
>AT1G58190.2,>GhD07G163000,13.0%,21.2%
>AT1G58190.2,>GhD07G095200,26.8%,41.1%
>AT1G58190.2,>GhD13G060700, 7.1%,11.5%
>AT1G58190.2,>GhD03G057700,25.9%,40.1%
>AT1G58190.2,>GhD13G232900,33.0%,48.6%
>AT1G58190.2,>GhD10G173100,27.3%,42.3%
>AT1G58190.2,>GhD06G069300,17.5%,25.6%
>AT1G58190.2,>GhD12G090600, 7.0%,10.4%
>AT1G58190.2,>GhD06G155600,12.5%,17.9%
>AT1G58190.2,>GhD02G148100, 6.6%,10.5%
>AT1G58190.2,>GhD02G148100, 6.6%,10.5%
>AT1G58190.2,>GhD01G245400,27.2%,40.2%
>AT1G58190.2,>GhD01G245500,27.1%,42.2%
>AT1G58190.2,>GhA11G283800,27.5%,41.7%
>AT1G58190.2,>GhD11G338300,26.9%,40.9%
>AT1G58190.2,>GhD11G338200,26.6%,41.9%
>AT1G58190.2,>GhA13G063200,25.3%,37.4%
>AT1G58190.2,>GhD09G026100, 8.1%,13.2%
>AT1G58190.2,>GhD05G013900,30.8%,43.9%
>AT1G58190.2,>GhA01G050700,21.7%,32.8%
>AT1G58190.2,>GhD02G027900,25.9%,38.7%
>AT1G58190.2,>GhD02G027800,27.1%,40.8%
>AT1G58190.2,>GhD11G075500,16.7%,26.9%
>AT1G58190.2,>GhA10G123000,26.8%,41.2%
>AT1G58190.2,>GhA01G256300,24.7%,37.7%
>AT1G58190.2,>GhD05G336900,26.8%,41.4%
>AT1G58190.2,>GhA10G135100,26.7%,41.2%
>AT1G58190.2,>GhA01G256200,23.9%,35.3%
>AT1G58190.2,>GhD04G152700,14.5%,22.5%
>AT1G58190.2,>GhA04G049100,26.5%,39.9%
>AT1G58190.2,>GhD08G020800,26.1%,41.2%
>AT1G58190.2,>GhA04G113800,26.3%,39.7%
>AT1G58190.2,>GhA04G049500,28.3%,41.2%
>AT1G58190.2,>GhD02G031400,22.3%,31.0%
>AT1G58190.2,>GhD04G152900,26.7%,39.8%
>AT1G58190.2,>GhD02G031600,33.3%,46.1%
>AT1G58190.2,>GhD05G397000,23.8%,36.9%
>AT1G58190.2,>GhA13G170200,26.0%,39.2%
>AT1G58190.2,>GhD05G396600,26.4%,40.1%
>AT1G58190.2,>GhA13G228800,29.3%,43.0%
>AT1G58190.2,>GhD01G250500,24.6%,38.2%
>AT1G58190.2,>GhD01G250400,26.6%,40.6%
>AT1G58190.2,>GhD01G248400,26.2%,39.1%
>AT1G58190.2,>GhD04G152600,28.3%,42.8%
>AT1G58190.2,>GhD10G138900,28.1%,44.1%
>AT1G58190.2,>GhD10G036800,12.4%,18.6%
>AT1G58190.2,>GhD01G046300,27.2%,40.3%
>AT1G58190.2,>GhD06G224700,28.8%,41.5%
>AT1G58190.2,>GhD02G031500,31.2%,45.2%
>AT1G58190.2,>GhD07G192700,28.3%,43.1%
>AT1G58190.2,>GhA11G356600,15.1%,24.1%
>AT1G58190.2,>GhA02G027000,28.2%,40.5%
>AT1G58190.2,>GhD10G132500,30.9%,45.6%
>AT1G58190.2,>GhA05G356600,38.0%,54.3%
>AT1G58190.2,>GhD06G224800,34.5%,50.7%
>AT1G58190.2,>GhD05G397900,28.3%,41.9%
>AT1G58190.2,>GhA01G251300,26.5%,39.9%
>AT1G58190.2,>GhA01G254200,25.8%,38.5%
>AT1G58190.2,>GhD05G395300,29.9%,42.3%
>AT1G58190.2,>GhD05G396900,29.6%,42.4%
>AT1G58190.2,>GhA08G025700,25.6%,40.0%
>AT1G58190.2,>GhD05G395000,28.3%,41.9%
>AT1G58190.2,>GhD02G045600,25.4%,39.0%
>AT1G58190.2,>GhD07G213600,28.4%,41.4%
>AT1G58190.2,>GhA11G333100,28.2%,41.0%
>AT1G58190.2,>GhA11G297300,28.6%,42.8%
>AT1G58190.2,>GhD09G061000,26.3%,39.0%
>AT1G58190.2,>GhD03G121200,27.2%,40.7%
>AT1G58190.2,>GhD05G367000,26.7%,39.5%
>AT1G58190.2,>GhD11G339300,27.7%,42.5%
>AT1G58190.2,>GhA10G097800,27.2%,41.0%
>AT1G58190.2,>GhD02G133200,26.5%,39.1%
>AT1G58190.2,>GhA13G228700,31.1%,46.6%
>AT1G58190.2,>GhA11G332000,26.0%,41.7%
>AT1G58190.2,>GhA09G067500,27.7%,41.7%
>AT1G58190.2,>GhA04G007700,26.3%,39.2%
>AT1G58190.2,>GhD12G159200,27.0%,42.1%
>AT1G58190.2,>GhA11G334000,28.0%,40.7%
>AT1G58190.2,>GhA11G283300,25.7%,39.3%
>AT1G58190.2,>GhD05G365900,27.1%,41.3%
>AT1G58190.2,>GhD05G396500,26.6%,38.4%
>AT1G58190.2,>GhD11G317300,27.4%,41.6%
>AT1G58190.2,>GhD11G339500,27.4%,40.8%
>AT1G58190.2,>GhA02G081100,27.1%,42.1%
>AT1G58190.2,>GhD01G046400,25.4%,39.3%
>AT1G58190.2,>GhA04G033800,27.1%,42.1%
>AT1G58190.2,>GhA10G123500,26.8%,40.0%
>AT1G58190.2,>GhD02G031000,29.9%,42.8%
>AT1G58190.2,>GhD05G367500,26.3%,39.7%
>AT1G58190.2,>GhD10G133200,23.9%,38.4%
>AT1G58190.2,>GhD02G031100,27.5%,39.3%
>AT1G58190.2,>GhA08G051200,26.5%,39.7%
>AT1G58190.2,>GhA05G269500,26.7%,39.5%
>AT1G58190.2,>GhA04G049200,23.4%,34.1%
>AT1G58190.2,>GhA04G007600,22.9%,34.3%
>AT1G58190.2,>GhA01G011400,22.7%,33.0%
>AT1G58190.2,>GhD01G049600,20.6%,32.3%
>AT1G58190.2,>GhD13G066900,25.5%,38.5%
>AT1G58190.2,>GhA13G229300,24.1%,35.0%
>AT1G58190.2,>GhD02G220600,23.5%,35.9%
>AT1G58190.2,>GhD05G397800,22.1%,32.3%
>AT1G58190.2,>GhD05G396100,21.0%,30.5%
>AT1G58190.2,>GhA07G032400,13.6%,21.9%
>AT1G58190.2,>GhD07G033800,13.9%,21.8%
>AT1G58190.2,>GhD02G030300,22.2%,31.2%
>AT1G58190.2,>GhD05G397600,19.6%,30.6%
>AT1G58190.2,>GhD02G131200,13.1%,21.7%
>AT1G58190.2,>GhA10G019500,13.4%,22.1%
